Terms                                 ,Genes ,ZIPF_Score ,Articles ,Freq_Term ,Publications
otx2                                  ,    2 ,      0.0  ,      49 ,      211 ,"15846561,18728160,19414065,19956411,20396904,22577225,22715480,24167467,25293953,33386644,30797919,30928384,22508046,16961590,15672400,15465488,14645121,17670791,7898305,8619954,35644505,33999993,31968244,10926781,7720578,24056062,29440302,25281935,23139843,31969185,26985665,31845906,32277752,28988713,27097562,32347797,23867227,22564795,23145006,25999792,33896883,33963285,34143204,32631829,18385377,27660103,25005894,18057103,31021473"
proteome                              ,   26 ,      2.05 ,     119 ,      207 ,"28350824,26962295,33072792,26104117,35563075,36014946,32241204,28877183,28077931,33105837,25116916,31576248,33850810,12754519,17081065,24284412,32796906,28436273,28533755,26744461,35203426,34944635,31083566,30459560,17892558,34299332,24608635,22968445,31408947,30289745,29540307,19432400,24098404,33255149,24710523,32183175,31191748,23718750,29439554,29900121,28539318,35395531,35585045,24552547,31234367,31635106,16449382,16823372,20381070,14562106,31168311,27053151,27761515,20074381,28636309,33260872,27177187,32039234,32735576,22721921,28249764,25418729,26823915,28555196,32596266,24658151,27412694,32842715,14562095,12543933,33610896,27257648,32448582,31620020,27634466,33083141,29433420,27110489,33193631,26150808,22288420,20003296,32817453,30553726,26528317,26503705,31018578,25545414,26486652,29176891,32295617,32628683,29034959,35211128,19862763,30815000,32111039,35445918,34938367,24204595,25741220,25929241,28666451,26121143,34130124,23291769,21383540,28068390,22046331,23604074,33841819,19575787,28592803,31906144,25663750,27379139,33271965,35265054,35811673"
muscle                                ,   20 ,      4.44 ,      82 ,      203 ,"29034528,30479852,1996112,24386424,25853266,26298201,22508046,18498429,12438741,35416576,31823891,24731717,9739103,23742632,17393485,19253283,12037670,23060074,16331689,27804976,28533755,10875629,12944371,14728987,9653196,11535622,12135771,12729900,19095005,21339484,10891348,20095964,23749380,14559359,16809425,35053257,31337710,31315980,23148318,31870285,33871019,11940698,9463323,23073781,34384932,18396137,30289745,31938350,1999398,6954532,35782537,29026428,23308156,32916630,32737368,19864425,23842751,31797905,26072516,33307066,25064856,33610896,31620020,27634466,22862948,34343541,25918244,22912857,33885378,34238312,23315540,18226547,15680912,23796494,17707450,28828729,19932185,17556052,19006180,32817651,28068390,22163185"
cycle                                 ,   28 ,      4.6  ,     115 ,      178 ,"29959233,24417559,32144752,31173497,33015792,30928384,16903786,34559577,33495500,27660103,11162633,16499868,24965446,25116916,35416576,33726573,21120994,34016745,31486991,26391396,19102727,12407145,19458327,9756848,10858305,19439179,32796906,34324523,12037672,31957815,28409330,18060517,20059949,33039146,27666310,26783066,27203244,30411496,29557391,28381877,35271667,31355153,14741382,22757692,25547487,30626720,24001019,30384889,11940698,33240452,26702755,28539318,34135859,31234227,27470985,26840285,24811072,22783226,10449419,32296580,22967762,8107114,22933270,29724888,29898807,28265575,10629049,10675337,10984507,12244100,14532282,19131338,19188440,20200153,21285374,23629655,24250814,9087427,9990006,33097698,23184662,10428815,26150808,20003296,26150413,26195524,23796209,20403389,28787542,34466438,33513391,32098812,30068910,29228011,30815000,28367977,21994946,20381631,12161445,10998352,11986303,20919932,20873783,24316080,10681558,23291769,8660923,16408210,2540042,34947982,11976098,27098988,26689807,28592803,16957778"
spectrometry                          ,   29 ,      2.96 ,     157 ,      172 ,"26962295,30111112,31425889,12644575,12611891,12837548,27672209,33403290,18614564,32241204,31995605,24312579,23116197,29849043,31173497,32574681,24965446,25116916,27941623,26801685,32210829,29254211,25783682,12754519,17081065,32860793,24284412,19439179,26030138,28712728,21507896,33729478,32116744,19253283,22118625,21734034,20536739,17643375,24794231,26305884,33153214,33140506,25632391,30347620,20945367,17892558,34299332,22757692,8635664,23322550,31133884,18721790,1518044,29540307,26934888,26668058,19432400,32545553,2915977,16924592,24098404,35782537,29026428,33918228,33490244,22860605,21149303,35600141,34306096,32183175,30988666,29925238,23718750,29439554,28356383,32916630,26082896,23665500,24552547,31080378,16449382,20381070,20688971,20074381,25693797,24920668,11991638,15146077,11884590,32493433,33260872,26162278,11840567,12183465,22967762,32596266,24658151,32471444,26088507,19131338,19815555,18000335,15378761,12543933,15998247,28685837,27257648,27110489,35215189,27602567,25555378,22615881,22288420,25141105,32817453,34071222,26195524,26687036,31671511,23796209,20547565,33513391,19360125,28036352,35211128,29342075,34938367,19384857,24204595,25965334,25907681,34130124,25793542,11904290,15680912,28953965,8089078,24316080,11784321,16215987,21173025,32420127,32476322,22046331,27573699,33553005,29117212,29436819,33841819,19575787,23691188,21569547,25663750,33271965,35265054,11971985,20678994"
motif                                 ,   26 ,      3.4  ,     105 ,      170 ,"11054105,28332713,29580769,9878398,12710967,31655597,33143303,26550823,31638262,32694517,15895553,24463511,28903035,15210948,19102727,27930687,22416126,15140795,8355702,9001221,15590677,25765647,8439294,9409622,17289077,9832504,19524571,20059949,27821587,17239655,28176357,18440095,31191455,31337710,31315980,1900194,16221301,35585045,30259240,25151410,10430027,25479903,2050125,7592562,28765283,12975319,11302706,32243451,32039234,15575968,12093748,16564677,22570411,19170760,28193846,20890123,10593949,11375989,14640981,19592703,10629049,10871379,10984507,12235138,14532282,15199122,15705566,17998332,19188440,19815555,20200153,23629655,9389645,26522729,25064856,28267607,35164288,31671511,19360125,7922339,8631310,23321469,35120969,10574923,11739746,14570900,17890166,10684936,29945054,21916849,20211754,22450240,18226547,18172504,12714747,8188254,8496166,17913528,32476322,22834699,12676584,23508108,9430642,12477726,17583703"
cyclin                                ,    8 ,      2.41 ,      48 ,      168 ,"33729478,12037670,19364821,23060074,11713533,15563843,17289077,21509660,9499409,33600051,19883659,16331689,10329125,10329126,10913173,12065898,12944466,9491887,9832504,17452463,18060517,19524571,20059949,24794231,27821587,22184064,33039146,26831658,27666310,20510931,21609829,27203244,26305884,28241067,26220330,32098961,33153214,30411496,29557391,20100936,21503958,21164014,25736597,25547487,30626720,29898807,23184662,26891316"
neuron                                ,   23 ,      3.16 ,      84 ,      162 ,"16135753,28433741,11906214,15465488,35644505,33963285,33143303,21723936,28479339,15581883,35681437,7937870,23675506,9457675,35887102,28270566,24284412,21933836,19144721,33729478,17393485,34810232,25326457,32034402,33771997,28241067,26220330,29546593,30185885,26515131,20036644,26792178,30890756,2845422,2158525,11279279,28613156,11906164,14559359,16809425,31337710,24908109,33871019,31403401,25594180,34040028,32331968,31888678,19432400,3670309,18452710,16924592,17190607,29925238,24188528,33731672,29453425,22930593,31168311,32543048,35268596,21516107,33174841,26823915,10623756,17578910,23000143,9990006,23008267,18222016,28685837,22987813,26880549,33034629,27756895,35809345,19766572,29427714,21562855,15099742,25640076,21871553,18606156,31272713"
zebrafish                             ,   19 ,      2.46 ,      55 ,      144 ,"26403541,25105228,19890851,16510503,7893604,22577225,14645121,16611693,7898305,8619954,23139843,22011226,32277752,25999792,17872382,15672396,21723936,23571216,28479339,18158147,20573696,19007769,17239227,15581883,23747543,27404450,29525604,27287801,28002843,21911385,26394147,14579377,15489334,17393485,24523552,24608635,24732964,20047682,23308156,12941645,28900183,32543048,16446107,29954941,32493433,25281006,32522152,16525935,29518406,28231391,33547280,17583703,17997606,18248177,18295965"
dlx5                                  ,    1 ,      0.0  ,      28 ,      144 ,"18056716,19393622,19956613,24042587,16115867,15383550,12815054,19497851,22121204,18498429,27416760,17335796,17027239,17051482,15672396,12895028,21503878,26512061,21270050,25954033,29901112,15456894,24858471,15581883,30297736,26685160,27335460,23382810"
neuronal                              ,   24 ,      3.12 ,      74 ,      139 ,"12611891,12111463,18614564,24312579,29198722,15672400,35644505,33143303,23571216,28479339,35681437,12807913,9353121,10913355,23675506,27404450,29525604,35887102,32286661,16767080,21933836,17393485,34810232,25326457,32034402,33771997,20510931,28241067,35271667,26991250,30185885,28176357,26515131,10391242,14656991,29476059,12221279,22617447,14559359,23801983,31403401,25594180,34040028,31888678,3670309,19296525,16924592,17190607,22860605,19469553,29900121,33731672,29453425,31168311,32543048,33174841,26823915,18575609,32522152,22987813,33492732,27756895,17289661,35809345,19766572,22166015,21850687,29427714,21562855,21526488,21871553,33889951,17360499,18606156"
regulator                             ,   29 ,      3.62 ,     123 ,      138 ,"21695218,18695251,19622630,28433741,33015792,35417297,33386644,30928384,14645121,32838760,25999792,33963285,34143204,18385377,17597530,18057103,18056716,19393622,19956613,24042587,12815054,17027239,12895028,26836061,21937107,18322277,29901112,29246798,26674964,33686586,32574681,20015864,32694517,29467488,24147004,20563989,26571461,10847580,16767080,28712728,22669741,17289077,21509660,12944466,27189267,18060517,20059949,27821587,33039146,30185885,26792178,21164013,18973346,9653196,28473402,29540307,7876104,8257427,11932413,19469553,28539318,29530978,23076791,20074381,35911972,35637209,23666536,32195236,21602352,33780465,28765283,27721687,12093748,16564677,9651361,22570411,25418729,19596686,35455958,29898807,24658151,26305539,16162498,14532282,19815555,20200153,23000143,23353889,23629655,24250814,18585351,33517344,31693902,33050986,31227231,24648518,18413715,31835328,21667333,18636753,35120969,11739746,17890166,28625552,25918244,35013429,9388242,19766572,20919932,28953965,17707404,28529127,25204677,15371445,11161802,2852136,16157662,24163315,32605139,33188200,23834507,19039140,24529706"
disorder                              ,   28 ,      4.31 ,     110 ,      137 ,"11063735,11841538,20031617,22781308,9887343,31425889,29959233,27213757,35563075,12611891,1712754,24456990,20801516,28293639,35749873,28433741,26706854,25105228,34791963,8643671,32277752,27957775,18385377,22121204,9467018,32694517,9353121,30890743,27404450,31552903,32873862,15210948,27355534,31486991,26801685,28270566,21933836,32468006,23793017,33284322,33771997,35271667,30717652,10391242,10526337,10781099,14656991,16027166,16091362,24026677,34416235,11771749,17893145,11906164,30384889,34231238,29186753,23801983,29581457,28473402,12616398,19107570,34384932,32070771,29590638,34849584,32331968,31888678,19432400,24188528,34135859,22279524,20381070,26072516,28934368,31819004,21464306,24169046,10029606,19731322,21309041,21653323,32499479,8107717,35911972,24821812,29954941,32575635,16162498,20410308,33517344,25281006,23001565,31620020,23105821,11707072,33492732,35075790,32636874,32185676,23796494,21969592,33889951,33547280,32882370,21383540,34273022,32817651,12709428,19039140"
liver                                 ,   23 ,      4.18 ,      60 ,      137 ,"25853266,35154294,28293639,19609968,18498429,34508305,18306214,12438741,24731717,33760186,32112990,15505029,25627686,8798450,32468006,29557391,34337171,16271702,22837305,25547487,2351831,6954532,23807296,30787051,24704991,24676454,12941645,31234227,31261804,31635106,28315483,3182776,3356687,33307066,18929534,17975826,2915978,3557128,18760763,23348515,2050125,2095458,28636309,33260872,9651361,24658151,32548489,31227231,18973667,29433420,35570264,25545414,24204595,29804005,22450240,8089078,18538872,33592076,34976870,31851938"
hcf-1                                 ,    1 ,      1.83 ,      27 ,      137 ,"10629049,10779346,10976766,10984507,12235138,12244100,12670868,14532282,15190068,15199122,16624878,17578910,19131338,19188440,19815555,20200153,21285374,23629655,28302723,21909281,24250814,18585351,33050986,33097698,31227231,30224358,26522729"
viral                                 ,   15 ,      4.08 ,      63 ,      136 ,"32325910,15220430,26985665,24823948,31217244,21159877,30666459,33208942,32231671,31694956,31363119,31608791,28903035,24965446,30270045,17289077,21509660,10364329,12944466,27189267,9491887,31391270,31938350,11932413,35600141,27721687,32748085,23825951,9651361,22933270,31723020,18575609,32575635,10623756,10675337,10779346,10871379,10984507,12235138,12244100,17578910,21285374,9271389,9087427,9334261,9990006,27257648,10574923,14570900,15254228,21123651,26891316,28625552,35013429,31701124,25929241,30428365,25965334,21526488,8253832,8660923,32476322,32817722"
peroxidase                            ,    6 ,      2.26 ,      74 ,      136 ,"30340410,26360774,21687966,15998247,20547565,29176891,10025941,10731722,21212070,9388242,20381631,20144717,20211754,18226547,8554614,17329258,12714748,9497357,17163455,17519234,18172504,10998352,11986303,12913160,20919932,21287625,27239855,10535922,17974571,24056278,11677042,11877442,17707404,19462976,21850687,12519079,29427714,20807727,19932185,15099742,19064914,25204677,25808059,25906064,33889951,23124252,11795888,20356456,15824112,18538872,11784321,29554571,12622818,1383159,10681558,15163410,15210711,15706081,18271751,2895105,7961686,9888818,8344960,12084836,12529539,18279387,14630923,19195412,10487217,22163185,22834699,23691188,31906144,33271965"
parasite                              ,    8 ,      3.51 ,      48 ,      136 ,"33495500,25188325,34679046,25151410,19114004,26687036,26129968,19132089,35164288,31671511,23796209,22059956,20403389,33688012,27239333,35570264,28787542,25545414,29176891,24699271,32628683,33513391,34001441,32098812,31295423,30068910,29451780,19360125,34486252,27228164,28972996,29228011,30815000,10704594,25906064,10713147,18538872,29554571,14630923,19740108,33592076,34039408,25240600,34718455,26689807,19575787,18325611,35811673"
